symbol	length	exp_syn	exp_alt
GUCA1A	201	377	1432
GRN	593	1202	4135
THAP3	239	492	1659
VAMP3	100	200	700
UTS2	139	275	976
RCN1	331	631	2348
RFC2	354	721	2465
PPP1R3F	799	1888	5303
KIAA2022	1516	2882	10762
ARHGEF5	1597	3401	10972
NFE2L3	694	1413	4833
TNIP3	325	566	2359
SIKE1	207	387	1476
TLL1	1013	1929	7188
NNAT	81	187	542
CBLN4	201	450	1359
CLDN11	207	486	1377
FAM168A	244	540	1656
RELT	430	987	2883
CDC27	824	1616	5800
PKP2	881	1852	6077
IL1RAP	570	1125	4005
YIPF1	306	635	2119
ADCK2	626	1432	4202
INPP4A	977	2028	6765
SLC2A3	496	1077	3387
ENPP2	863	1661	6106
CTDP1	867	1930	5873
STYK1	422	886	2912
GNA11	359	717	2514
CREB3L3	461	1040	3109
PIGV	493	1084	3353
HDAC7	991	2286	6633
MRPS35	323	650	2257
APPBP2	585	1136	4129
CA11	328	742	2210
ISOC2	221	517	1472
EPN1	550	1276	3674
CD22	847	1696	5927
GSC2	205	499	1346
ZFY	801	1448	5761
CECR5	393	862	2675
KCNQ1	676	1529	4555
TRPM5	1165	2564	7921
TRIB2	343	701	2386
OTUD5	571	1255	3884
GPKOW	476	1046	3238
AQR	1485	2894	10471
KLK13	99	237	654
KLK14	267	597	1806
ST6GALNAC1	600	1251	4149
MBD3	259	518	1813
LMCD1	365	735	2550
PSMC4	418	857	2905
FNDC8	324	670	2246
CAMKK1	520	1112	3568
FAM50A	260	475	1865
ACAP1	740	1637	5023
DERL2	239	485	1666
NOX3	568	1154	3958
ANO8	1232	2749	8339
KDM4B	1096	2322	7542
PANX2	643	1478	4309
ICAM3	547	1234	3689
CAMSAP3	1249	2936	8305
CTTNBP2	1663	3431	11536
ACTL6B	426	889	2945
FAM135B	153	311	1066
CIC	1606	3911	10543
KIF22	665	1489	4496
PRSS22	317	720	2133
CEACAM1	526	1118	3616
YTHDC2	1430	2861	10009
TMEM161A	479	1142	3169
BCAR1	870	1994	5836
FOXJ2	574	1191	3975
TNFRSF1A	455	969	3126
GOLGA5	731	1417	5162
METTL22	205	458	1387
CELSR3	3312	7611	22197
PPP2R5B	497	1052	3421
PYGM	842	1733	5845
BCL3	454	1116	2970
KCNAB2	367	776	2527
PIGB	554	1065	3921
PDZD4	769	1643	5278
PRLH	87	216	567
REEP1	201	423	1386
FSTL3	263	583	1784
EPHA8	1005	2215	6830
TRIP13	432	879	3009
P4HA2	535	1096	3719
VASH1	365	783	2502
PDCD2	221	459	1530
LLGL2	1015	2261	6874
KRT14	472	988	3260
KRT20	424	847	2969
ARHGEF10L	611	1346	4153
SPP2	211	398	1501
HSD17B10	261	607	1742
FGF4	206	483	1371
RGS11	84	177	579
NMRK2	230	471	1599
MASP1	380	715	2705
ST6GAL1	406	781	2873
TIMM21	248	509	1723
BPIFB2	458	1102	3020
REXO1	1221	2765	8224
MKRN2	416	785	2959
GPATCH1	931	1873	6506
IL4R	810	1677	5613
KEAP1	624	1289	4327
P2RY10	339	658	2393
TNS1	1735	3821	11794
NGFR	427	932	2911
NEB	6669	12004	48017
NTN1	604	1230	4206
ISOC1	298	653	2029
TRO	1431	3102	9777
MNT	582	1383	3855
AP3M2	418	855	2907
LAPTM4A	233	468	1629
ADAM7	754	1394	5392
ASNS	561	1094	3955
PTPN18	460	1016	3124
DRD4	419	1044	2727
SCT	121	303	786
ALDH3A2	485	992	3373
STK10	968	1882	6830
ALPK1	1244	2455	8741
TBX21	535	1149	3666
MRPS34	225	500	1525
CA12	354	744	2442
MAP2K5	448	908	3124
TIGAR	270	537	1893
FGF20	211	456	1443
MTMR7	660	1262	4678
CPB2	423	824	2983
FAM107B	306	590	2164
CDK13	1512	3226	10382
TSPAN32	320	718	2162
FAR2	515	1007	3628
TRAM2	370	756	2574
CLDN18	261	566	1783
ROPN1	212	444	1464
NDUFB4	129	274	887
HEATR6	1181	2486	8143
ERLEC1	483	943	3404
CLIC5	410	800	2890
TMEM131	1883	3894	13053
ARPP21	812	1625	5683
CEACAM21	292	625	2003
TMEM38A	299	629	2062
PVR	44	113	283
ZNF222	451	780	3279
PSG6	424	894	2922
ACTR6	396	729	2835
SLC25A3	361	766	2483
NR1H4	482	902	3436
FAP	760	1438	5402
NFKB2	899	2056	6035
MUSK	783	1610	5437
DMRT3	472	1043	3205
OSBPL6	934	1803	6603
WISP2	250	575	1675
CTSA	480	989	3331
ANKRD16	304	665	2071
GAL3ST2	398	907	2675
UHRF1BP1	1440	2970	9990
OSTM1	334	689	2317
IMPG2	1241	2455	8714
ACTN1	892	1756	6272
NAIP	1403	2717	9910
KIAA0141	515	1143	3492
SLC13A1	595	1252	4103
PCDHB4	795	1761	5394
PCDHB2	798	1760	5422
HSPB11	144	272	1024
STRADB	418	840	2922
FAM135A	147	276	1047
DLG3	849	1762	5879
SEMA5B	1057	2274	7239
SNAP91	902	2049	6069
PLOD1	727	1509	5034
TDRD3	651	1276	4583
OXCT1	520	1082	3598
ZNF324	553	1219	3758
ZNF416	594	1108	4238
RPS5	204	435	1401
FAM234B	622	1395	4203
PILRA	303	668	2059
RRN3	651	1280	4579
MOGAT2	334	713	2293
CHERP	927	1894	6449
AQP2	271	658	1781
DIMT1	313	646	2171
EIF2AK1	630	1272	4398
NME8	588	1069	4223
EPDR1	224	454	1562
MRPL28	256	533	1771
HBQ1	142	340	938
CEACAM6	344	754	2342
RBM22	420	866	2914
HSD17B2	387	799	2684
MAP2	559	1252	3779
ZW10	779	1511	5500
ITGB4	1822	3933	12465
PPP1R15A	674	1445	4621
TRIP6	476	1082	3202
ADAM11	769	1661	5260
LAMP2	410	850	2840
SLC22A4	551	1204	3755
CETP	493	1030	3407
MT3	68	117	495
PTHLH	175	382	1193
TFAP2C	450	968	3082
SULT2B1	365	733	2552
EPS8L1	723	1635	4872
CACNB4	458	950	3172
DNMT3B	845	1738	5867
REM1	298	688	1994
PDRG1	133	259	938
EPB41L1	779	1606	5405
PPP1R13B	1090	2299	7511
TGM6	706	1489	4865
RALGAPA2	1873	3768	13089
RPL6	288	597	1995
ESF1	851	1431	6228
SLC8B1	584	1358	3898
TMEM230	120	267	813
OAS1	400	799	2801
SIRT4	314	663	2163
TRMT6	497	976	3497
HAUS5	633	1450	4247
UQCRC1	480	1043	3277
GMIP	970	2184	6546
LAG3	525	1229	3496
MLF2	248	512	1720
OTUB2	234	458	1648
LTBP4	1587	3509	10774
TFAP4	338	708	2334
PDCD7	485	1136	3229
SPG21	308	598	2174
CHRD	955	2253	6342
THPO	353	867	2310
FLT3LG	153	369	1008
GNPTG	305	647	2098
GOLGA3	1498	3042	10440
CD209	360	715	2525
EFNB1	346	736	2378
GLG1	1203	2320	8507
DLL3	618	1460	4102
NAT14	206	535	1319
AASDH	1098	2196	7686
LAMB4	1761	3443	12406
DLD	509	1063	3518
ABCC6	1503	3412	10115
CMTM6	183	396	1251
MYO15A	3530	7768	24002
APOH	345	686	2419
SPAG7	227	432	1611
ESR1	595	1230	4125
RGS17	210	380	1510
TMEM101	257	576	1737
CCDC80	950	1926	6624
CMA1	136	299	925
PSME1	249	476	1765
HAUS4	363	710	2557
CEBPE	281	626	1903
OSGEP	335	742	2273
SLC22A17	538	1290	3552
G2E3	706	1299	5055
TGM1	817	1765	5588
TBX15	496	1011	3453
TEKT2	430	899	2971
UNC13D	1090	2393	7417
COMT	199	445	1346
XYLB	536	1125	3699
OR1I1	355	757	2438
ADH7	386	803	2671
ADH1A	375	780	2595
KRT23	422	825	2973
CDC6	560	1145	3895
AAAS	546	1245	3669
CBX5	191	333	1386
KLHL20	609	1261	4220
FMO2	535	1052	3763
DHPS	369	769	2552
RAB26	256	571	1733
PTBP3	182	401	1237
PSMD5	504	1079	3457
NANS	359	723	2508
SEMA4G	843	1919	5668
TPSD1	242	527	1651
GSTA3	222	428	1570
MAPK13	365	742	2543
TMEM14A	99	223	668
RPS18	152	324	1044
GPANK1	356	788	2416
BAG6	1126	2604	7530
VARS	1264	2814	8562
PRRT1	306	761	1993
ZNF184	751	1336	5423
VCL	1134	2403	7803
SIRT1	747	1518	5205
TGFBR3	851	1754	5905
TMED1	227	489	1554
MZF1	734	1630	4976
OCEL1	264	578	1798
PSMD8	350	757	2393
STX1B	288	556	2036
BCL7C	217	501	1452
EFNA2	213	475	1442
ATP5D	168	408	1104
CBARP	114	275	751
PCDH11X	1053	2169	7308
AMELY	192	408	1320
FGF22	170	417	1113
SMIM24	130	256	914
IGFALS	605	1455	3990
2-Mar	246	552	1662
NDUFB7	137	275	958
TECR	308	647	2125
TIMM13	95	189	666
CDC34	236	484	1640
MISP	679	1505	4606
POLR2E	204	421	1415
GADD45B	160	326	1114
MADCAM1	382	940	2498
MAPK12	367	770	2533
SERPIND1	499	972	3519
SNAP29	258	516	1806
LZTR1	840	1752	5808
THAP7	309	692	2089
MMP11	488	1077	3315
MIF	115	244	791
DDTL	134	308	898
OSM	252	553	1715
TBC1D10A	508	1072	3500
SF3A1	793	1623	5514
USP18	372	704	2644
SEC14L3	400	794	2806
SNRPD3	126	259	875
MAPK1	360	702	2538
TCN2	427	911	2932
CRYBB3	211	416	1483
MORC2	970	2006	6724
SLC25A1	311	708	2091
PLA2G3	509	1088	3493
LGALS2	132	256	932
PDXP	296	720	1944
ASPHD2	369	771	2550
LGALS1	135	274	941
PIK3IP1	263	571	1796
SRRD	339	694	2357
PATZ1	537	1188	3645
CRYBB1	252	535	1733
ANKRD54	300	693	2007
SNU13	128	276	876
MICALL1	863	1895	5872
CENPM	180	413	1207
KDELR3	214	441	1485
DMC1	340	676	2384
HSCB	235	443	1672
CBY1	126	263	871
TOMM22	142	308	970
RSPH14	348	743	2389
XBP1	261	570	1779
RTCB	505	1018	3527
JOSD1	202	391	1427
GTPBP1	669	1464	4557
PPP6R2	966	2033	6661
DNAL4	105	195	750
C22orf31	290	587	2023
MIOX	285	564	2001
LMF2	682	1613	4525
CBX6	394	923	2623
RHBDD3	386	987	2487
APOBEC3D	386	722	2752
RASL10A	203	478	1349
HMGXB4	601	1217	4192
BIK	160	346	1094
HMOX1	288	616	1976
NIPSNAP1	284	573	1983
MCM5	734	1534	5072
ARSA	509	1212	3369
RASD2	266	531	1863
TTLL12	644	1321	4475
CBX7	251	548	1711
ACR	421	930	2859
CABP7	215	429	1506
RPL3	403	813	2814
SYNGR1	118	259	803
TAB1	504	1080	3456
PNPLA5	429	939	2922
PNPLA3	481	1038	3291
MYH9	1960	3837	13803
TXN2	166	355	1139
FOXRED2	684	1476	4680
EIF3D	548	1025	3907
ADSL	498	1020	3462
PVALB	110	204	786
UPK3A	287	661	1922
FAM118A	357	716	2497
ST13	369	692	2629
IL2RB	551	1202	3757
RBX1	108	192	780
L3MBTL2	705	1416	4929
CHADL	762	1909	4949
PHF5A	110	207	783
ACO2	780	1658	5362
PMM1	262	536	1822
CERK	537	1110	3723
BRD1	1058	2180	7342
ZBED4	1171	2382	8157
HDAC10	669	1581	4440
RIPK3	518	1092	3570
PAPOLA	745	1512	5193
HSP90AA1	732	1332	5256
NID2	1375	2919	9456
MARK3	713	1435	4982
SNAPC1	368	664	2648
SUPT16H	1047	1946	7477
ABHD4	149	327	1014
FKBP3	224	429	1587
CTSG	255	567	1728
GZMH	246	515	1699
GZMB	247	508	1715
PRMT5	576	1170	4014
COCH	550	1143	3807
AP4S1	159	296	1135
POLE2	527	1053	3690
SOS2	1332	2585	9403
CDKL1	276	556	1928
PYGL	847	1674	5949
GNPNAT1	184	365	1291
CNIH1	144	278	1018
CGRRF1	332	622	2366
ATP6V1D	247	502	1721
C14orf105	296	544	2120
PLEK2	353	734	2443
LRRC74A	200	397	1403
PIGH	188	393	1299
PSMA3	255	489	1806
VTI1B	44	98	298
GSTZ1	216	460	1484
TMED8	325	672	2253
SAMD15	674	1274	4792
AHSA1	338	668	2374
ISM2	76	202	482
SPTLC2	562	1163	3895
RIN3	985	2168	6697
ALKBH1	389	790	2711
CHGA	457	920	3193
DHRS7	339	711	2340
SIX4	781	1697	5332
CEP128	435	847	3068
SLC10A1	349	749	2392
EIF5	431	794	3085
SLC8A3	298	637	2045
ZFYVE21	252	521	1747
MTHFD1	935	1990	6425
BDKRB1	353	772	2405
VRK1	396	741	2823
PAPLN	808	1735	5537
APEX1	318	666	2196
PABPN1	306	689	2065
EFS	561	1357	3692
CINP	212	414	1494
SRP54	504	926	3610
PCK2	640	1393	4367
NFKBIA	317	662	2191
EMC9	208	444	1428
PSME2	239	474	1677
BRMS1L	323	578	2329
PNN	717	1323	5130
RABGGTA	567	1259	3844
CYP24A1	514	1036	3590
PTPRA	793	1593	5544
NSFL1C	370	761	2569
ZFP64	681	1370	4759
SIRPG	276	627	1857
GSS	474	1040	3226
PYGB	843	1721	5866
PROCR	238	532	1610
MYBL2	700	1465	4835
R3HDML	253	504	1773
PABPC1L	614	1310	4216
SALL4	1053	2233	7244
CSTF1	431	867	3012
TPD52L2	229	493	1568
CTSZ	303	621	2106
TUBB1	451	895	3164
SLCO4A1	722	1624	4874
TCFL5	483	1040	3307
BIRC7	298	656	2026
UBOX5	541	1165	3704
EEF1A2	463	977	3190
PTK6	134	315	891
SRMS	488	1088	3304
C20orf27	199	428	1363
TRIB3	358	854	2368
CSNK2A1	391	762	2757
MACROD2	425	786	3039
SLC52A3	469	1080	3141
RSPO4	234	490	1616
PROKR2	384	784	2672
FERMT1	677	1303	4790
PDYN	254	525	1761
TM9SF4	625	1248	4377
TLDC2	215	450	1485
SNTA1	505	1186	3359
OXT	125	275	850
PXMP4	144	335	961
CHMP4B	224	428	1588
LBP	481	1034	3295
SLC32A1	525	1136	3589
CST4	141	285	984
WFDC2	102	227	691
AHCY	432	898	2990
SPINT3	89	170	631
PIGU	435	906	3009
ACOT8	319	670	2201
APMAP	416	909	2835
TXNL1	289	546	2055
MYL12A	171	302	1237
RNF125	232	468	1620
POLI	678	1314	4788
NOX1	515	1034	3601
TAF9	264	551	1825
IDH3G	393	844	2693
SLC25A43	341	759	2310
H2BFWT	175	394	1181
MXRA5	2828	5957	19495
VSIG1	387	813	2670
PSMD10	226	464	1570
STS	583	1200	4047
TBL1X	577	1183	4010
PGRMC1	195	414	1341
RHOXF1	184	378	1278
NXT2	197	380	1393
GUCY2F	1108	2252	7720
ATP1B4	357	676	2537
TLR8	1041	2016	7353
WDR13	485	1067	3298
PAGE4	102	206	712
GLRA2	452	882	3186
STAG2	1268	2347	9065
F9	461	881	3268
ABCD1	745	1705	5000
BCORL1	1711	3847	11552
KCND1	647	1431	4392
SLC25A14	325	670	2255
FMR1	611	1202	4297
PQBP1	265	542	1843
PCSK1N	260	690	1650
RAB40AL	278	588	1914
GPR50	617	1313	4240
RP2	350	663	2487
USP11	963	1974	6693
HTATSF1	755	1331	5464
TIMP1	207	429	1434
PIN4	111	217	782
ITIH6	1313	2969	8848
MAGED2	606	1288	4166
GLA	429	817	3044
ATP12A	1045	2158	7247
NDFIP2	336	719	2305
MLNR	412	997	2711
ACP5	325	708	2217
ARHGEF7	705	1396	4949
SGCG	291	600	2019
DHRS12	242	498	1680
OLFM4	510	1032	3558
ACSM2A	577	1192	4001
NTHL1	312	684	2124
ZNF263	683	1366	4781
MMP2	660	1313	4627
ZNF205	554	1175	3811
ORC6	252	514	1754
C16orf70	422	851	2947
CORO1A	461	1012	3137
MT4	62	104	454
LYRM1	122	257	841
NUTF2	127	219	924
CBLN1	193	420	1317
ARL2BP	163	305	1162
PLLP	182	413	1225
CCL22	93	202	635
DHODH	395	915	2640
CCL17	94	206	640
ACD	541	1279	3590
POLR2C	275	555	1920
PARD6A	346	822	2292
MMP15	669	1455	4566
USB1	265	547	1838
CCDC113	377	720	2673
PRSS54	395	793	2762
NME3	169	380	1141
PSMD7	324	624	2292
SETD6	473	1011	3246
SLC38A7	462	1021	3137
HAS3	281	618	1911
SMPD3	655	1424	4471
SLC7A6	515	1129	3506
PLA2G15	412	900	2808
FA2H	372	781	2567
CMC2	79	132	579
PDIA2	525	1161	3564
ARHGDIG	225	516	1509
MPG	298	668	2014
HSDL1	330	668	2302
WFDC1	220	497	1483
USP10	798	1683	5499
TSC2	1807	3974	12289
ZNF500	480	1039	3281
NME4	187	418	1265
DECR2	292	680	1948
FAM173A	218	554	1408
METRN	187	461	1222
STUB1	303	593	2134
RHBDL1	438	993	2949
MEFV	781	1670	5359
CRYM	314	691	2135
CAPN15	1086	2455	7319
AQP8	261	613	1736
USP31	1352	2912	9256
HMOX2	316	613	2231
TOX3	576	1148	4036
MAZ	493	1134	3303
CDIPT	213	468	1449
BCKDK	412	909	2799
KAT8	458	921	3201
TMC5	760	1504	5336
SLC6A2	628	1329	4323
KNOP1	458	873	3249
MGA	3065	6291	21294
AQP9	295	641	2014
CSK	450	932	3118
MTFMT	389	818	2683
RASL12	266	582	1812
CTSH	335	644	2371
CEMIP	1361	2701	9548
EHD4	541	1096	3773
TGM5	720	1438	5042
GABPB1	395	836	2719
SCG3	468	853	3359
DNAJC17	304	617	2119
RHOV	236	528	1596
VPS18	973	2112	6645
OIP5	229	506	1555
BLOC1S6	172	328	1220
EXTL3	919	1942	6329
FDFT1	417	809	2944
AGO2	859	1767	5964
PAG1	432	863	3025
TG	2768	5760	19152
BRF2	419	937	2834
ZFAND1	268	482	1930
RP1	2156	4062	15342
RIPK2	540	1051	3809
CPQ	472	980	3268
DECR1	335	716	2299
SFRP1	314	607	2219
PLAT	562	1122	3936
DKK4	224	459	1557
GDAP1	358	705	2517
PHF20L1	991	1872	7047
EIF3E	445	823	3182
EMC2	297	528	2145
WISP1	280	568	1952
STMN2	179	341	1270
TRPS1	1281	2507	9022
CHRAC1	131	251	928
NCALD	193	345	1392
GML	158	310	1112
UBR5	2798	5715	19467
PYCRL	286	680	1894
MTMR9	549	1077	3864
DCTN6	190	385	1325
GSR	522	1123	3575
TNFRSF10A	468	1016	3196
PPP2CB	309	614	2167
NEFM	916	1790	6454
KCTD9	389	797	2704
HOMER3	358	789	2433
CNOT3	753	1562	5215
EXOSC5	235	544	1571
PNPLA6	1327	3027	8916
PLAUR	290	598	2012
PAF1	531	970	3809
STXBP2	593	1271	4066
CYP4F3	520	1076	3604
ZNF432	652	1170	4698
ZNF180	692	1238	4990
ZNF780B	685	1205	4960
MAN2B1	1010	2194	6896
TULP2	520	1079	3601
DHDH	334	731	2275
RUVBL2	259	616	1715
ECH1	328	710	2242
HNRNPL	589	1231	4070
LHB	141	324	945
SARS2	518	1153	3509
KCNA7	456	1072	3032
SNRNP70	428	936	2916
RELB	579	1326	3885
CLASRP	674	1447	4619
LIN7B	207	476	1387
PPP1R37	691	1557	4662
FCGRT	365	823	2462
CKM	381	763	2666
PEX11G	241	577	1592
SLC17A7	560	1208	3832
RNASEH2A	299	640	2051
SF3A2	464	1074	3102
AMH	560	1457	3583
DKKL1	242	538	1640
TRMT1	630	1389	4281
RETN	108	237	735
RSPH6A	717	1444	5009
TBC1D17	648	1422	4410
CCDC130	396	806	2758
AES	264	565	1811
SGTA	313	628	2189
KIR3DX1	352	744	2424
SNAPC2	334	814	2192
C19orf53	80	177	543
FIZ1	496	1165	3299
C19orf44	657	1383	4530
EPHX3	360	804	2436
ZNF419	510	933	3657
SLC1A6	564	1292	3784
POP4	96	198	666
PDCD5	55	109	386
LGALS13	139	272	979
FBL	321	731	2158
CLC	142	274	1004
CNTD2	155	374	1021
EBI3	229	517	1544
TBCB	244	506	1690
FSD1	496	1033	3431
POLR2I	125	228	897
APLP1	651	1444	4415
CACTIN	758	1571	5251
CCDC9	531	1127	3652
TGFB1	390	855	2655
ATP5SL	257	534	1779
CEACAM4	244	567	1629
PLIN3	434	935	2971
CD79A	226	474	1560
LIM2	215	469	1466
RPS19	71	149	490
NKG7	165	381	1104
ICAM5	924	2231	6085
CEACAM5	702	1504	4814
CRX	299	671	2020
SULT2A1	285	507	2058
CDC37	378	683	2719
RABAC1	185	423	1242
CNFN	112	231	777
ZNRF4	429	989	2872
HAS1	578	1343	3859
RAB3D	219	439	1532
DBP	325	802	2123
EPOR	508	1156	3416
RASIP1	963	2309	6358
FGF21	209	490	1391
WDR83OS	104	193	743
CACNG7	275	579	1896
GCDH	438	960	2982
DNASE2	360	749	2491
LENG1	264	579	1797
RPL18A	176	373	1211
SLC5A5	643	1514	4273
KCNN1	543	1210	3677
ARRDC2	407	963	2700
PIK3R2	728	1632	4920
RAB3A	220	426	1554
PSENEN	101	212	697
COMP	757	1522	5291
UPK1A	258	548	1774
TMEM147	224	469	1547
GAPDHS	408	893	2779
HAMP	84	171	585
USF2	346	749	2365
KXD1	176	361	1223
FKBP8	412	918	2790
ERF	548	1277	3655
GSK3A	483	1110	3237
ZNF574	986	2216	6658
SIPA1L3	1781	3873	12156
CADM4	388	869	2623
PON1	355	715	2480
CYP3A43	504	968	3568
ABCF2	634	1270	4436
HGF	728	1385	5167
LAMB1	1786	3429	12645
UBE2D4	147	293	1030
WNT16	365	712	2573
CPA2	419	843	2928
CPA4	421	839	2950
GTPBP10	387	761	2722
TFPI2	235	459	1656
BET1	118	231	831
NAMPT	491	949	3470
TWISTNB	338	656	2386
PON2	354	731	2455
ITGB8	769	1461	5460
HBP1	514	968	3658
SP4	784	1687	5369
CBLL1	490	1001	3409
DLX5	289	602	1999
MPP6	540	1056	3804
OGDH	1023	2107	7100
NPVF	196	364	1400
H2AFV	114	257	769
CAV2	162	322	1136
HOXA2	376	777	2607
LFNG	379	882	2529
HOXA5	270	540	1890
HOXA6	233	468	1629
TSPAN12	305	586	2159
HOXA13	388	871	2621
EVX1	201	482	1327
CHN2	468	923	3289
ABHD11	315	694	2141
FKBP14	211	388	1511
STX1A	288	550	2042
NOD1	953	2005	6572
CCL24	119	245	826
BUD31	144	265	1031
CYP3A5	502	1012	3506
SNX8	465	981	3204
WASL	505	1087	3458
HYAL4	481	939	3390
SPAM1	509	982	3599
AIMP2	320	662	2218
TFR2	801	1794	5415
MOSPD3	235	576	1539
PCOLCE	449	1030	3011
RBM28	759	1461	5370
LSM5	71	167	472
SERPINE1	402	840	2778
MOGAT3	341	737	2332
C1GALT1	363	659	2608
PLOD3	738	1583	5059
RPA3	121	231	858
FIS1	152	321	1047
GLCCI1	547	1208	3715
MYL10	226	454	1580
NRF1	503	1103	3424
CEP41	373	772	2585
ZNF862	1169	2427	8094
MEST	335	710	2305
RARRES2	163	353	1114
YAE1D1	226	427	1607
GIMAP2	337	633	2400
PSMA2	234	485	1621
MRPL32	188	387	1305
COA1	146	283	1031
AEBP1	1158	2421	8001
POLD2	455	1010	3085
MYL7	175	340	1235
BCL7B	202	424	1394
YKT6	198	407	1375
CLIP2	1046	2291	7123
PTGS1	562	1159	3899
ZNF510	683	1186	4961
ZNF688	276	619	1865
CHMP5	219	411	1560
FKTN	461	866	3283
PRUNE2	191	375	1344
SEC61B	96	226	638
C5	1676	3304	11780
AKNA	899	2070	6021
TNFSF8	234	479	1627
AK1	210	454	1436
RLN1	185	365	1300
PLGRKT	147	258	1065
TBC1D13	275	554	1921
ELAVL2	346	701	2413
EDF1	148	308	1024
SETX	2677	5146	18947
C8G	202	465	1353
VIM	466	967	3227
BLNK	456	931	3173
CYP26A1	497	1057	3416
ATE1	518	981	3681
CDH23	3359	7337	22894
CCSER2	834	1586	5920
ACTA2	377	768	2625
SFXN3	325	706	2219
FBXL15	300	734	1966
PITRM1	1037	2062	7271
OBFC1	368	711	2601
DNAJC12	198	365	1417
PPIF	207	455	1408
TBC1D12	775	1623	5352
MPO	745	1626	5079
ST6GALNAC2	374	813	2553
DHX33	707	1518	4845
UTP18	556	1114	3890
SLC25A39	351	812	2347
P2RX5	422	860	2938
EPX	715	1598	4837
CRYBA1	215	382	1553
NUFIP2	695	1363	4892
GIT1	761	1651	5198
RPL19	196	390	1374
RUNDC3A	405	850	2795
CSF3	207	467	1396
SUPT4H1	117	241	812
WNT3	355	730	2465
SHPK	478	1072	3230
TAX1BP3	124	267	849
P2RX1	399	822	2769
KRT37	449	919	3122
GOSR2	213	415	1502
PNPO	218	447	1515
TVP23C	276	564	1920
RPS6KB1	525	1047	3678
CBX1	185	337	1328
PIGL	252	528	1740
GALK1	392	916	2612
